"","V1"
"inaug_JamesMonroe *_1_36",7
"inaug_JamesMonroe *_1_37",8
"inaug_JamesMonroe *_1_38",7
"inaug_JamesMonroe *_1_39",7
"inaug_JamesMonroe *_1_40",7
"inaug_JamesMonroe *_1_41",7
"inaug_JamesMonroe *_1_42",1
"inaug_JamesMonroe *_1_43",7
"inaug_JamesMonroe *_1_44",1
"inaug_JamesMonroe *_1_45",1
"inaug_JamesMonroe *_1_46",1
"inaug_JamesMonroe *_1_47",1
"inaug_JamesMonroe *_1_48",12
"inaug_JamesMonroe *_1_49",9
"inaug_JamesMonroe *_1_50",10
"inaug_JamesMonroe *_1_51",7
"inaug_JamesMonroe *_1_52",8
"inaug_JamesMonroe *_1_53",7
"inaug_JamesMonroe *_1_54",10
"inaug_JamesMonroe *_1_55",9
"inaug_JamesMonroe *_1_56",9
"inaug_JamesMonroe *_1_57",9
"inaug_JamesMonroe *_1_58",7
"inaug_JamesMonroe *_1_59",7
"inaug_JamesMonroe *_1_60",7
"inaug_JamesMonroe *_1_61",13
"inaug_JamesMonroe *_1_62",7
"inaug_JamesMonroe *_1_63",9
"inaug_JamesMonroe *_1_64",7
"inaug_JamesMonroe *_1_65",7
"inaug_JamesMonroe *_1_66",9
"inaug_JamesMonroe *_1_67",12
"inaug_JamesMonroe *_1_68",1
"inaug_JamesMonroe *_1_69",7
"inaug_JamesMonroe *_1_70",8
"inaug_JamesMonroe *_1_71",8
"inaug_JamesMonroe *_1_72",8
"inaug_JamesMonroe *_1_73",8
"inaug_JamesMonroe *_1_74",12
"inaug_JamesMonroe *_1_75",12
"inaug_JamesMonroe *_1_76",12
"inaug_JamesMonroe *_1_77",12
"inaug_JamesMonroe *_1_78",12
"inaug_JamesMonroe *_1_79",9
"inaug_JamesMonroe *_1_80",12
"inaug_JamesMonroe *_1_81",9
"inaug_JamesMonroe *_1_82",9
"inaug_JamesMonroe *_1_83",9
"inaug_JamesMonroe *_1_84",7
"inaug_JamesMonroe *_1_85",8
"inaug_JamesMonroe *_1_86",7
"inaug_JamesMonroe *_1_87",12
"inaug_JamesMonroe *_1_88",12
"inaug_JamesMonroe *_1_89",9
"inaug_JamesMonroe *_1_90",9
"inaug_JamesMonroe *_1_91",9
"inaug_JamesMonroe *_1_92",9
"inaug_JamesMonroe *_1_93",7
"inaug_JamesMonroe *_1_94",7
"inaug_JamesMonroe *_1_95",1
"inaug_JamesMonroe *_1_96",1
"inaug_JamesMonroe *_1_97",1
"inaug_JamesMonroe *_1_98",1
"inaug_JamesMonroe *_1_99",1
"inaug_JamesMonroe *_1_100",1
"inaug_JamesMonroe *_1_101",1
"inaug_JamesMonroe *_1_102",1
"inaug_JamesMonroe *_1_103",1
"inaug_JamesMonroe *_1_104",1
"inaug_JamesMonroe *_1_105",1
"inaug_JamesMonroe *_1_106",1
"inaug_JamesMonroe *_1_107",10
"inaug_JamesMonroe *_1_108",10
"inaug_JamesMonroe *_1_109",1
"inaug_JamesMonroe *_1_110",1
"inaug_JamesMonroe *_1_111",15
"inaug_JamesMonroe *_1_112",15
"inaug_JamesMonroe *_1_113",9
"inaug_JamesMonroe *_1_114",9
"inaug_JamesMonroe *_1_115",9
"inaug_JamesMonroe *_1_116",9
"inaug_JamesMonroe *_1_117",7
"inaug_JamesMonroe *_1_118",7
"inaug_JamesMonroe *_1_119",7
"inaug_JamesMonroe *_1_120",7
"inaug_JamesMonroe *_1_121",9
"inaug_JamesMonroe *_1_122",8
"inaug_JamesMonroe *_1_123",9
"inaug_JamesMonroe *_1_124",7
"inaug_JamesMonroe *_1_125",7
"inaug_JamesMonroe *_1_126",7
"inaug_JamesMonroe *_1_127",9
"inaug_JamesMonroe *_1_128",6
"inaug_JamesMonroe *_1_129",7
"inaug_JamesMonroe *_1_130",7
"inaug_JamesMonroe *_1_131",9
"inaug_JamesMonroe *_1_132",9
"inaug_JamesMonroe *_1_133",9
"inaug_JamesMonroe *_1_134",9
"inaug_JamesMonroe *_1_135",9
"inaug_JamesMonroe *_2_2",9
"inaug_JamesMonroe *_2_3",9
"inaug_JamesMonroe *_2_4",9
"inaug_JamesMonroe *_2_5",9
"inaug_JamesMonroe *_2_6",9
"inaug_JamesMonroe *_2_7",9
"inaug_JamesMonroe *_2_8",7
"inaug_JamesMonroe *_2_9",9
"inaug_JamesMonroe *_2_10",9
"inaug_JamesMonroe *_2_11",10
"inaug_JamesMonroe *_2_12",9
"inaug_JamesMonroe *_2_13",1
"inaug_JamesMonroe *_2_14",10
"inaug_JamesMonroe *_2_15",7
"inaug_JamesMonroe *_2_16",10
"inaug_JamesMonroe *_2_17",1
"inaug_JamesMonroe *_2_18",1
"inaug_JamesMonroe *_2_19",9
"inaug_JamesMonroe *_2_20",12
"inaug_JamesMonroe *_2_21",10
"inaug_JamesMonroe *_2_22",12
"inaug_JamesMonroe *_2_23",10
"inaug_JamesMonroe *_2_24",12
"inaug_JamesMonroe *_2_25",12
"inaug_JamesMonroe *_2_26",12
"inaug_JamesMonroe *_2_27",12
"inaug_JamesMonroe *_2_28",12
"inaug_JamesMonroe *_2_29",12
"inaug_JamesMonroe *_2_30",12
"inaug_JamesMonroe *_2_31",7
"inaug_JamesMonroe *_2_32",9
"inaug_JamesMonroe *_2_33",9
"inaug_JamesMonroe *_2_34",9
"inaug_JamesMonroe *_2_35",9
"inaug_JamesMonroe *_2_36",9
"inaug_JamesMonroe *_2_37",9
"inaug_JamesMonroe *_2_38",9
"inaug_JamesMonroe *_2_39",10
"inaug_JamesMonroe *_2_40",12
"inaug_JamesMonroe *_2_41",12
"inaug_JamesMonroe *_2_42",12
"inaug_JamesMonroe *_2_43",9
"inaug_JamesMonroe *_2_44",9
"inaug_JamesMonroe *_2_45",11
"inaug_JamesMonroe *_2_46",9
"inaug_JamesMonroe *_2_47",10
"inaug_JamesMonroe *_2_48",10
"inaug_JamesMonroe *_2_49",8
"inaug_JamesMonroe *_2_50",1
"inaug_JamesMonroe *_2_51",7
"inaug_JamesMonroe *_2_52",7
"inaug_JamesMonroe *_2_53",7
"inaug_JamesMonroe *_2_54",7
"inaug_JamesMonroe *_2_55",7
